"data_usage_mb","call_duration_min","plan_type","dropped_calls","app_frequency","app_category","device_type","region_x","age","gender","arpu","tenure_months","amount","payment_mode","recharge_channel","successful","price","validity_days","data_limit_gb","sms_limit","plan_category","promo_offer","latitude","longitude","network_type","signal_strength_dbm","outage_flag","monthly_data_gb","monthly_calls_min","usage_category","Complaint_flag_num"
798,6.2993501479601255,"Basic",3,12,"Shopping","Android","Mumbai",26,"Female",190,14,799,"UPI","Retail Store","Yes",199,28,5,100,"Economy","10% Off",13,80.2,"5G",-68,"Yes",16.95748575512573,225.4204666655417,"Medium",1
140,13.177844102733296,"Premium",2,17,"Gaming","Android","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",50.12502461501769,285.7791445845429,"High",1
1857,7.991252539452654,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
2941,36.37464715308883,"Basic",0,22,"Utility","Android","Hyderabad",31,"Female",278,42,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",22.524539840552467,962.7644595818984,"Medium",0
727,5.6180184947871,"Unlimited",3,38,"Gaming","Android","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",56.77576408348186,226.9736638999422,"High",1
334,32.350753806783864,"Prepaid",3,9,"Utility","Android","Chennai",43,"Female",306,13,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",19,72.8,"5G",-72,"No",9.672020245269165,910.5150711127473,"Low",1
1857,7.991252539452654,"Postpaid",4,15,"Streaming","Android","Chennai",44,"Female",851,16,199,"Cash","App","No",399,30,20,500,"Regular","20% Cashback",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
2845,11.863974065312837,"Prepaid",3,28,"Utility","Android","Hyderabad",45,"Male",214,38,799,"Wallet","Retail Store","Yes",299,28,10,300,"Standard","15% Off",13,80.2,"5G",-68,"Yes",50.12502461501769,285.7791445845429,"High",1
915,14.073211584956798,"Prepaid",2,49,"Streaming","iOS","Mumbai",54,"Female",487,40,499,"Wallet","Retail Store","Yes",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",6.959494789559148,287.0976296314246,"Low",1
1681,5.276616322764015,"Premium",1,5,"Streaming","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",50.12502461501769,285.7791445845429,"High",1
1815,3.6698935804651978,"Unlimited",2,37,"Gaming","Android","Bangalore",26,"Male",366,47,299,"Cash","App","Yes",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",28.7,77.1,"4G",-81,"Yes",23.05743430731525,130.8052997384762,"Medium",1
1151,11.392938800323844,"Basic",3,30,"Utility","iOS","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",40.969779128726245,117.73948397892774,"High",0
1763,36.71992667205469,"Basic",3,25,"Utility","Android","Hyderabad",45,"Female",445,56,499,"Wallet","Retail Store","No",199,28,5,100,"Economy","10% Off",28.7,77.1,"4G",-81,"Yes",40.969779128726245,117.73948397892774,"High",0
2365,34.824670189168174,"Prepaid",4,39,"Utility","iOS","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
2837,26.654782791893133,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
2669,42.8132664584296,"Postpaid",3,34,"Social","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
1649,14.663239714095484,"Premium",0,3,"Gaming","Feature","Chennai",37,"Female",962,39,799,"UPI","App","Yes",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",30.88926370363833,160.4578599241391,"High",1
1192,6.048750495548085,"Prepaid",3,5,"Streaming","Feature","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
349,24.37323113886311,"Postpaid",2,12,"Shopping","Feature","Chennai",25,"Male",670,28,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",36.82997790515189,698.5330070916299,"High",1
615,28.48160006876629,"Prepaid",1,49,"Gaming","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",14.731610454695604,977.0925386789828,"Medium",1
1894,27.4083965570944,"Basic",2,36,"Streaming","Android","Hyderabad",32,"Female",869,13,549,"UPI","Retail Store","No",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",59.34626935341568,642.8776619592817,"High",1
254,14.697495302014364,"Postpaid",1,17,"Utility","Feature","Bangalore",24,"Female",202,38,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",52.83375640076704,678.633007252828,"High",1
996,43.05920706851735,"Premium",4,22,"Shopping","iOS","Hyderabad",35,"Female",913,44,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",25.745875827091943,596.8424627667822,"High",1
1585,38.5032944434416,"Premium",4,26,"Gaming","Android","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",12.9,77.5,"4G",-57,"No",40.21758863078878,124.38639325313514,"High",1
1649,14.663239714095484,"Premium",0,3,"Gaming","Feature","Chennai",37,"Female",962,39,399,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",30.88926370363833,160.4578599241391,"High",1
138,20.681429312995668,"Premium",4,13,"Gaming","Feature","Mumbai",19,"Female",164,17,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",19,72.8,"5G",-72,"No",3.0666592397530703,922.8689259044492,"Low",1
492,32.55850425648886,"Unlimited",1,42,"Streaming","iOS","Chennai",44,"Female",851,16,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",22.5,88.3,"3G",-58,"No",40.21758863078878,124.38639325313514,"High",1
2909,42.13776124741777,"Postpaid",0,5,"Utility","Android","Chennai",21,"Female",337,46,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",14.731610454695604,977.0925386789828,"Medium",1
915,14.073211584956798,"Prepaid",2,49,"Streaming","iOS","Mumbai",54,"Female",487,40,499,"Wallet","Retail Store","Yes",299,28,10,300,"Standard","15% Off",28.7,77.1,"4G",-81,"Yes",6.959494789559148,287.0976296314246,"Low",1
353,2.395473219515075,"Postpaid",0,35,"Utility","iOS","Hyderabad",20,"Female",898,40,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",56.77576408348186,226.9736638999422,"High",1
1681,5.276616322764015,"Premium",1,5,"Streaming","Feature","Hyderabad",45,"Male",214,38,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",50.12502461501769,285.7791445845429,"High",1
2495,43.373419584405305,"Postpaid",3,49,"Utility","iOS","Mumbai",19,"Female",164,17,799,"Wallet","App","No",399,30,20,500,"Regular","20% Cashback",28.7,77.1,"4G",-81,"Yes",3.0666592397530703,922.8689259044492,"Low",1
2837,26.654782791893133,"Postpaid",0,33,"Social","iOS","Bangalore",42,"Female",529,33,549,"UPI","Retail Store","No",399,30,20,500,"Regular","20% Cashback",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
2838,37.28749745699008,"Premium",3,3,"Shopping","Feature","Bangalore",42,"Female",529,33,499,"Card","Website","Yes",499,56,50,1000,"Advanced","Free OTT",28.7,77.1,"4G",-81,"Yes",52.37114260207894,538.6880784245623,"High",0
1343,26.57334008381546,"Premium",3,28,"Gaming","Android","Mumbai",19,"Female",164,17,549,"UPI","Retail Store","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",3.0666592397530703,922.8689259044492,"Low",1
1540,30.013845189884883,"Premium",2,44,"Shopping","Android","Bangalore",42,"Female",529,33,199,"Wallet","Website","No",499,56,50,1000,"Advanced","Free OTT",13,80.2,"5G",-68,"Yes",52.37114260207894,538.6880784245623,"High",0
497,15.992187020848512,"Unlimited",3,8,"Utility","iOS","Mumbai",54,"Female",487,40,549,"UPI","Retail Store","No",799,84,25.897435897435898,565.8119658119658,"Ultra","5G Access",12.9,77.5,"4G",-57,"No",6.959494789559148,287.0976296314246,"Low",1
1283,29.22336266275052,"Basic",0,41,"Social","Feature","Hyderabad",20,"Female",898,40,299,"Cash","Retail Store","Yes",199,28,5,100,"Economy","10% Off",12.9,77.5,"4G",-57,"No",56.77576408348186,226.9736638999422,"High",1
2978,18.22329650540912,"Prepaid",0,26,"Utility","iOS","Hyderabad",31,"Female",278,42,299,"Cash","Retail Store","Yes",299,28,10,300,"Standard","15% Off",22.5,88.3,"3G",-58,"No",22.524539840552467,962.7644595818984,"Medium",0
